0 1 2
0 2 1
0 9 21
0 21 9
1 0 2
1 2 0
1 4 7
1 7 4
2 0 1
2 1 0
2 14 23
2 23 14
3 4 5
3 5 4
3 10 18
3 18 10
4 3 5
4 5 3
4 1 7
4 7 1
5 4 3
5 3 4
5 13 20
5 20 13
6 7 8
6 8 7
6 11 15
6 15 11
7 4 1
7 1 4
7 6 8
7 8 6
8 6 7
8 7 6
8 12 17
8 17 12
9 0 21
9 21 0
9 10 11
9 11 10
10 11 9
10 9 11
10 3 18
10 18 3
11 10 9
11 9 10
11 6 15
11 15 6
12 8 17
12 17 8
12 13 14
12 14 13
13 5 20
13 20 5
13 12 14
13 14 12
14 12 13
14 13 12
14 2 23
14 23 2
15 16 17
15 17 16
15 11 6
15 6 11
16 15 17
16 17 15
16 19 22
16 22 19
17 16 15
17 15 16
17 12 8
17 8 12
18 19 20
18 20 19
18 10 3
18 3 10
19 18 20
19 20 18
19 16 22
19 22 16
20 19 18
20 18 19
20 13 5
20 5 13
21 22 23
21 23 22
21 9 0
21 0 9
22 21 23
22 23 21
22 19 16
22 16 19
23 22 21
23 21 22
23 14 2
23 2 14
